Feature1,Feature2,Pearson_Corr,Pearson_p-value,Spearman_Corr,Spearman_p-value,Kendall_Corr,Kendall_p-value
Head,Neck,0.9942415564933088,0.0,0.9878033652091863,0.0,0.924031198856833,0.0
Head,RShoulder_X,0.7092727835865795,0.0,0.7901821846942864,0.0,0.5670840966279929,0.0
Head,RShoulder_Y,0.9893919802962443,0.0,0.9828675599935777,0.0,0.909123101479764,0.0
Head,LShoulder_X,0.47464088557676654,2.0252790666632783e-163,0.39006439321421227,2.258557781467505e-106,0.2653353827598952,8.039594126604386e-97
Head,LShoulder_Y,0.9902630520513385,0.0,0.9848412540222655,0.0,0.9134965281494642,0.0
Head,RElbow_X,0.6810035901266006,0.0,0.7889336452291009,0.0,0.5731195008485516,0.0
Head,RElbow_Y,0.948963945868471,0.0,0.9071499600526873,0.0,0.7727977721204875,0.0
Head,LElbow_X,0.5638596911266938,6.291137030916706e-244,0.47766116708170403,9.015587089311233e-166,0.35352734401193947,2.2518542997224986e-171
Head,LElbow_Y,0.945482492187548,0.0,0.9163945607259979,0.0,0.7887953227020282,0.0
Head,RWrist_X,0.6666400261318153,0.0,0.7637393107384778,0.0,0.5722753167591994,0.0
Head,RWrist_Y,0.8933723910273658,0.0,0.7732695870324752,0.0,0.6027968966012842,0.0
Head,LWrist_X,0.5952349669105071,1.49742811230533e-278,0.5368345416481031,5.971745084904106e-217,0.4005847706974375,2.4716469705176876e-221
Head,LWrist_Y,0.9113557735992315,0.0,0.7889592791810393,0.0,0.6209770489023699,0.0
Head,RHip_X,0.6426542848780319,0.0,0.7426170286110682,0.0,0.5264602048130123,0.0
Head,RHip_Y,0.8544074083954155,0.0,0.8604159626809307,0.0,0.708797321259248,0.0
Head,LHip_X,0.2082212776577717,7.232576760798476e-30,0.10424581096897055,1.736159907978529e-08,0.07539966795998702,3.108875724189096e-09
Head,LHip_Y,0.8617113539830064,0.0,0.867983436073583,0.0,0.7150585002717079,0.0
Head,RKnee_X,0.6696211730589509,0.0,0.763655035264827,0.0,0.5481865256793086,0.0
Head,RKnee_Y,0.5256846281858578,1.6161254392593566e-206,0.6347193936484344,0.0,0.5165027078772705,0.0
Head,LKnee_X,0.23125069449186322,1.2537788651477322e-36,0.144258573175954,5.301919582921224e-15,0.10511638425500174,1.4580821881898512e-16
Head,LKnee_Y,0.558435551271351,2.5930370541124255e-238,0.6570313341183367,0.0,0.5355781040159093,0.0
Head,RAnkle_X,0.6678209790357021,0.0,0.7605710874415633,0.0,0.5603279965329111,0.0
Head,RAnkle_Y,0.478846668189443,1.0605447125805652e-166,0.6075723076957685,3.052879467895808e-293,0.44688869428437566,3.990824257064629e-266
Head,LAnkle_X,0.2028695240951148,2.0939983648825324e-28,0.07955571868085774,1.7347366783820254e-05,0.0632781293090221,6.693396910534066e-07
