Frame,Head,Neck,RShoulder_X,RShoulder_Y,LShoulder_X,LShoulder_Y,RElbow_X,RElbow_Y,LElbow_X,LElbow_Y,RWrist_X,RWrist_Y,LWrist_X,LWrist_Y,RHip_X,RHip_Y,LHip_X,LHip_Y,RKnee_X,RKnee_Y,LKnee_X,LKnee_Y,RAnkle_X,RAnkle_Y,LAnkle_X,LAnkle_Y,Chest,Label
0,304,487,394,579,617,548,360,731,685,700,274,761,754,731,462,914,565,914,462,1188,582,1219,462,1280,565,1401,731,1
1,274,457,394,548,617,518,342,670,685,670,257,700,771,670,462,883,565,853,462,1188,582,1188,462,1280,565,1371,700,1
2,243,426,394,487,617,487,342,640,685,640,240,670,771,609,445,822,565,822,445,1005,565,1036,462,1219,565,1249,670,0
3,213,396,394,457,617,457,342,609,685,609,222,609,788,579,445,792,565,761,445,1005,565,1005,462,1219,565,1219,609,0
4,182,365,394,457,617,426,342,579,685,579,240,579,788,518,462,761,565,761,445,1005,565,1005,462,1219,565,1219,609,0
5,152,365,394,426,617,426,342,579,685,548,240,548,771,487,462,761,565,761,445,1005,565,1005,445,1219,565,1219,609,0
6,152,335,394,426,617,396,342,548,685,548,240,518,754,487,462,792,565,792,445,1005,565,1005,462,1188,565,1219,609,0
7,152,365,394,426,617,396,342,548,668,548,257,518,754,487,462,792,565,761,445,975,565,1005,462,1188,565,1188,579,0
8,152,365,394,426,617,426,360,579,668,548,274,518,737,487,462,761,565,761,445,975,565,975,462,1188,565,1188,579,0
9,152,365,394,426,617,426,360,579,651,579,291,548,720,518,462,792,565,792,445,1005,565,1036,462,1188,565,1219,609,0
10,182,396,394,457,634,457,377,609,651,609,308,579,702,548,462,822,565,822,445,1005,565,1036,462,1219,582,1219,640,0
11,213,426,394,487,634,487,377,640,651,609,325,609,702,609,462,853,565,853,445,1066,582,1158,462,1219,565,1249,670,0
12,243,457,394,518,634,518,394,670,634,670,342,640,685,640,462,853,565,853,445,1066,565,944,462,1249,565,1249,670,0
13,274,487,394,548,634,548,394,700,668,670,342,700,685,670,462,914,565,914,462,1219,565,1219,462,1249,565,1249,731,1
14,304,518,394,579,634,579,377,731,685,731,360,761,720,731,462,914,565,914,462,1219,565,1005,462,1249,565,1249,761,1
15,335,518,394,609,634,579,377,761,685,761,342,792,685,761,462,944,548,944,445,1219,565,1219,445,1219,565,1249,761,1
16,335,518,394,579,634,579,394,731,685,731,342,792,702,761,462,914,565,944,480,1219,565,1219,462,1249,565,1371,761,1
17,304,487,394,579,634,548,377,731,668,700,325,761,702,731,462,914,565,914,462,1219,565,1219,462,1249,565,1401,731,1
