Frame,Head,Neck,RShoulder_X,RShoulder_Y,LShoulder_X,LShoulder_Y,RElbow_X,RElbow_Y,LElbow_X,LElbow_Y,RWrist_X,RWrist_Y,LWrist_X,LWrist_Y,RHip_X,RHip_Y,LHip_X,LHip_Y,RKnee_X,RKnee_Y,LKnee_X,LKnee_Y,RAnkle_X,RAnkle_Y,LAnkle_X,LAnkle_Y,Chest,Label
0,609,761,411,822,600,822,377,975,651,975,325,1036,685,1036,462,1066,548,1066,462,1219,548,1249,497,1340,548,1310,944,1
1,579,761,411,792,600,792,377,944,651,944,308,1005,702,1005,445,1036,548,1036,462,1188,548,1249,497,1340,548,1340,914,1
2,548,731,411,761,600,761,360,914,651,914,291,975,720,944,445,1036,548,1005,445,1127,548,1188,497,1310,548,1310,883,1
3,518,700,411,731,582,731,360,853,651,853,274,914,737,914,445,1005,548,1005,462,1188,548,1158,480,1310,548,1310,853,0
4,487,670,411,700,582,700,342,822,651,822,257,853,754,883,445,975,548,944,462,1158,548,1127,480,1310,548,1310,853,0
5,487,640,394,700,582,670,342,792,651,792,240,822,754,822,445,944,531,944,462,1158,548,1127,480,1280,565,1280,822,0
6,457,609,411,670,582,670,342,761,668,761,240,792,771,792,445,914,531,914,462,1127,565,1097,462,1280,565,1280,792,0
7,426,609,411,640,600,670,325,761,685,761,240,761,771,761,445,914,531,914,445,1097,548,1097,480,1249,548,1249,792,0
8,426,609,411,640,600,640,325,731,668,731,240,761,771,731,445,914,531,914,445,1097,548,1066,480,1280,548,1249,761,0
9,426,609,394,640,600,640,325,731,668,731,240,731,754,700,445,914,531,883,445,1066,548,1066,480,1249,548,1249,761,0
10,426,609,411,640,600,640,342,731,668,761,257,731,737,700,445,914,531,914,462,1097,548,1097,480,1249,548,1249,792,0
11,457,609,394,670,600,670,325,731,651,731,274,761,720,731,445,914,548,914,462,1127,548,1097,480,1249,548,1249,792,0
12,457,609,394,670,582,670,342,761,651,761,291,792,702,761,462,914,548,914,462,1127,548,1127,480,1280,548,1249,792,0
13,487,640,394,700,582,670,360,792,634,761,308,822,685,792,462,944,548,944,462,1158,548,1127,462,1280,548,1280,822,0
14,487,670,394,700,582,700,360,822,634,822,325,853,685,853,462,975,548,944,462,1097,548,1127,480,1280,548,1310,822,0
15,518,700,394,761,582,731,360,883,617,822,342,914,668,883,462,975,548,975,462,1127,548,1127,480,1310,548,1310,853,0
16,548,731,394,792,582,761,342,914,634,883,342,944,668,944,462,1036,548,1036,462,1127,548,1097,497,1310,531,1310,914,1
17,609,761,411,792,582,792,342,975,634,914,342,1005,668,975,462,1066,548,1066,462,1127,548,1127,480,1310,531,1340,944,1
18,609,761,411,822,582,822,360,1005,634,975,360,1036,651,1036,462,1097,531,1127,462,1097,548,1158,480,1310,548,1340,975,1
19,609,761,411,822,582,822,377,975,634,975,360,1036,651,1066,462,1127,531,1127,462,1127,548,1310,480,1310,531,1340,975,1
20,579,761,394,792,582,792,360,975,634,975,342,1036,668,1036,462,1127,531,1127,445,1097,548,1158,480,1310,531,1340,975,1
21,548,731,394,761,582,761,360,944,634,944,325,1005,668,1005,462,1036,548,1036,445,1158,565,1158,480,1310,531,1340,914,1
22,518,700,394,731,582,731,360,883,617,883,308,944,668,975,462,1005,548,1005,462,1188,548,1188,480,1310,548,1340,883,1
23,487,670,394,700,582,700,360,853,634,853,308,914,685,914,445,1005,548,1005,462,1188,548,1219,480,1280,548,1340,853,0
24,487,640,394,700,582,700,360,822,651,822,274,853,720,883,445,975,531,944,462,1158,548,1127,480,1280,548,1310,822,0
25,457,609,411,670,582,670,342,792,651,792,274,822,737,822,445,944,531,914,462,1066,548,1097,462,1249,565,1280,792,0
26,457,609,394,670,582,670,342,761,668,792,257,792,737,822,445,914,531,914,462,1005,548,1066,462,1219,565,1280,792,0
27,426,609,394,640,582,640,342,761,668,761,257,792,771,792,445,914,531,914,462,1097,565,1097,462,1249,565,1280,792,0
28,426,609,411,640,582,640,342,761,668,761,257,792,771,761,462,944,531,914,462,1127,565,1127,480,1249,565,1310,792,0
29,457,609,411,640,582,670,342,761,668,731,257,792,771,731,445,914,548,914,462,1127,565,1127,480,1249,565,1280,792,0
30,457,640,411,670,582,670,342,761,668,761,274,792,754,731,462,914,548,914,462,1127,565,1127,480,1280,565,1280,792,0
31,457,640,411,670,582,670,360,792,668,761,274,792,754,761,462,975,548,944,462,1097,548,1097,480,1280,565,1280,822,0
32,487,670,411,700,582,700,360,822,668,792,291,822,737,792,462,975,548,944,462,1127,565,1127,480,1280,565,1280,822,0
33,518,700,411,731,582,731,377,853,668,822,308,853,720,822,462,975,548,975,462,1158,565,1158,480,1310,565,1310,853,0
34,548,731,411,761,582,731,360,853,634,853,325,914,702,853,480,1005,548,1005,480,1158,565,1127,497,1310,565,1310,883,1
35,579,731,428,792,582,792,377,883,634,853,342,944,685,914,462,1036,548,1005,480,1158,565,1127,497,1340,548,1340,914,1
36,609,792,411,822,582,822,360,975,651,914,360,1005,668,944,462,1066,548,1066,480,1219,565,1219,497,1340,548,1340,944,1
37,609,792,411,853,582,822,360,1005,634,944,360,1036,668,1005,462,1066,548,1066,480,1249,565,1188,497,1340,548,1340,944,1
