Frame,Head,Neck,RShoulder_X,RShoulder_Y,LShoulder_X,LShoulder_Y,RElbow_X,RElbow_Y,LElbow_X,LElbow_Y,RWrist_X,RWrist_Y,LWrist_X,LWrist_Y,RHip_X,RHip_Y,LHip_X,LHip_Y,RKnee_X,RKnee_Y,LKnee_X,LKnee_Y,RAnkle_X,RAnkle_Y,LAnkle_X,LAnkle_Y,Chest,Label
0,457,609,377,670,565,640,360,792,582,761,342,761,617,761,445,914,531,914,445,1036,531,1036,445,1219,514,1219,792,1
1,457,640,394,670,565,670,377,792,600,792,342,792,617,792,428,914,531,914,445,1066,531,1066,445,1219,514,1219,792,1
2,457,640,394,700,565,670,394,883,617,792,360,822,617,822,428,914,531,914,428,1097,548,1066,445,1219,514,1219,822,1
3,487,670,394,700,565,700,360,792,600,822,360,822,617,853,445,914,531,944,428,1097,548,1066,462,1219,514,1219,822,1
4,487,640,394,700,565,700,360,853,600,853,360,853,600,883,428,944,531,944,428,1097,548,1066,462,1219,514,1219,822,1
5,487,640,377,700,582,700,360,853,600,883,342,883,600,883,428,914,514,914,428,1097,548,1066,462,1219,514,1219,822,1
6,457,640,377,670,565,670,360,792,600,853,325,853,617,853,428,944,514,944,428,1066,548,1036,462,1219,514,1219,822,1
7,426,609,394,640,565,640,360,761,582,761,308,822,634,792,428,883,531,883,411,1005,565,1036,445,1188,514,1219,761,1
8,396,579,394,609,565,609,342,731,617,731,274,761,668,761,445,883,531,853,428,1005,548,1005,445,1188,514,1219,761,1
9,365,548,394,579,565,579,342,700,617,670,257,670,702,670,428,853,514,853,428,1005,531,944,445,1188,531,1188,731,1
10,335,518,394,548,565,548,342,670,617,640,274,640,685,609,428,853,514,822,428,1005,531,1066,428,1188,531,1158,700,1
11,335,518,394,548,565,518,360,640,617,640,291,609,651,609,445,822,531,792,428,1005,531,1036,428,1158,531,1158,670,1
12,304,487,394,518,565,518,360,609,617,609,342,640,617,609,428,822,531,822,428,1036,548,1066,411,1127,565,1188,670,1
13,304,487,377,518,565,487,377,670,582,640,377,670,600,670,445,792,531,792,428,975,531,1036,411,1097,531,1127,640,0
