Frame,Head,Neck,RShoulder_X,RShoulder_Y,LShoulder_X,LShoulder_Y,RElbow_X,RElbow_Y,LElbow_X,LElbow_Y,RWrist_X,RWrist_Y,LWrist_X,LWrist_Y,RHip_X,RHip_Y,LHip_X,LHip_Y,RKnee_X,RKnee_Y,LKnee_X,LKnee_Y,RAnkle_X,RAnkle_Y,LAnkle_X,LAnkle_Y,Chest,Label
0,609,792,428,792,600,792,377,944,634,944,308,1005,668,1005,462,1066,548,1066,462,1219,565,1219,480,1401,548,1401,944,1
1,579,761,411,792,600,761,360,883,634,853,257,914,702,944,462,1036,548,1005,462,1219,548,1188,480,1401,565,1371,883,1
2,579,731,411,761,582,731,342,853,668,853,240,853,754,914,462,975,548,975,462,1158,548,1127,480,1340,565,1340,853,0
3,548,731,411,731,600,700,342,853,685,822,274,822,771,853,462,975,548,944,462,1127,565,1127,480,1310,565,1310,853,0
4,548,700,411,731,394,731,342,853,360,822,325,822,291,853,445,944,548,944,462,1127,565,1066,480,1280,548,1280,822,0
5,548,700,411,700,600,700,360,822,668,792,325,883,720,822,462,944,548,944,445,1066,582,1066,480,1249,548,1249,822,0
6,518,700,411,700,582,700,360,883,651,792,325,914,720,883,462,944,548,944,445,1066,582,1066,480,1249,548,1249,822,0
7,518,700,411,700,600,700,377,853,634,822,325,914,702,914,462,944,548,944,445,1036,582,1066,480,1249,548,1249,822,0
8,548,700,411,700,582,700,377,853,651,822,308,914,702,914,462,914,548,914,462,1097,565,1036,480,1249,565,1249,822,0
9,548,700,411,700,582,670,360,822,651,822,274,883,702,883,462,914,548,914,462,1097,582,1066,480,1280,565,1280,822,0
10,548,700,565,670,411,731,668,822,360,822,737,853,257,853,462,944,548,975,462,1097,565,1097,480,1280,565,1310,853,0
11,579,731,565,700,411,761,685,853,342,853,771,883,257,853,548,914,445,914,565,1127,462,1127,565,1340,480,1310,822,0
12,609,761,428,761,565,731,360,883,668,853,308,883,754,853,480,1005,548,1005,462,1127,565,1158,480,1340,565,1340,883,1
13,640,792,582,792,428,792,651,853,360,914,702,883,325,944,548,1036,462,1066,565,1219,462,1188,548,1371,480,1340,914,1
14,670,822,411,853,582,822,377,975,651,914,360,1036,685,975,462,1066,548,1066,462,1249,565,1249,497,1401,548,1401,944,1
15,700,853,411,883,600,883,394,1005,634,1005,360,1066,668,1036,462,1097,548,1097,480,1280,565,1249,497,1401,548,1401,1005,1
16,731,883,411,914,600,883,394,1036,617,1036,360,1097,651,1097,480,1127,565,1127,480,1280,582,1280,497,1401,548,1432,1005,1
17,700,883,411,914,582,883,377,1036,634,1036,325,1097,668,1127,462,1158,565,1158,480,1310,582,1280,497,1401,548,1401,1036,1
18,700,853,411,883,582,883,360,1036,634,1005,308,1066,685,1066,462,1158,565,1127,480,1249,582,1280,497,1401,548,1401,1005,1
19,670,853,411,853,582,822,360,975,634,944,274,1005,702,1005,462,1127,548,1097,462,1249,582,1219,497,1401,548,1401,975,1
20,640,792,411,792,582,792,342,914,651,914,257,944,720,944,462,1097,548,1066,462,1249,565,1219,480,1371,565,1401,944,1
21,609,792,394,792,582,761,342,883,634,853,274,883,720,914,462,1036,548,1005,480,1249,548,1158,497,1371,548,1371,914,1
22,579,761,411,761,565,700,342,853,634,853,291,883,720,853,462,1005,548,975,480,1188,548,1158,480,1340,548,1371,883,1
23,579,731,411,731,565,700,342,853,634,822,325,883,702,853,445,975,531,944,462,1127,565,1097,497,1280,548,1280,853,0
24,548,731,394,731,582,731,360,883,634,822,325,944,685,883,445,944,531,914,462,1127,565,1097,497,1280,531,1249,822,0
25,579,731,394,731,565,700,360,853,617,822,342,944,651,914,445,914,531,914,462,1097,565,1066,480,1249,548,1249,822,0
26,548,700,394,731,565,700,377,853,617,853,325,914,651,914,428,914,531,883,462,1097,565,1066,480,1249,531,1249,822,0
27,548,731,394,731,565,670,342,853,617,822,291,914,668,914,428,883,531,883,445,1066,565,1036,480,1249,548,1249,792,0
28,548,731,377,731,565,700,325,822,634,822,257,883,685,883,428,914,531,914,445,1066,548,1036,462,1249,548,1249,822,0
29,579,731,377,731,548,670,308,822,634,792,222,853,702,853,445,944,531,914,445,1097,548,1066,462,1280,548,1280,822,0
30,579,731,394,731,548,700,308,822,634,792,222,853,737,822,445,944,531,944,445,1127,548,1097,445,1310,548,1310,822,0
31,579,761,394,761,548,700,308,853,634,822,257,883,720,822,445,975,531,975,445,1127,548,1127,445,1310,531,1340,853,0
32,640,792,411,761,531,761,342,853,617,822,291,914,685,853,445,1005,531,975,445,1158,548,1158,445,1340,531,1340,883,1
33,640,822,394,792,531,792,325,914,600,853,325,975,651,914,445,1036,531,1005,445,1188,548,1158,445,1340,514,1371,914,1
34,700,853,394,853,565,853,360,914,582,944,360,1005,617,975,445,1066,531,1066,445,1219,548,1188,445,1401,514,1371,975,1
35,700,883,377,914,548,883,377,1066,582,1005,360,1097,617,1066,445,1127,531,1097,445,1280,548,1219,445,1401,514,1401,1005,1
36,731,883,377,914,548,883,360,1066,582,1036,325,1127,617,1127,445,1158,531,1127,445,1280,548,1310,445,1401,497,1401,1036,1
37,700,883,377,914,548,883,342,1036,600,1036,291,1097,634,1097,428,1158,514,1127,428,1280,548,1340,445,1401,497,1432,1036,1
38,700,853,377,883,548,883,325,1005,600,975,257,1066,651,1066,445,1127,514,1127,428,1188,548,1310,445,1401,497,1401,1005,1
39,670,822,377,822,548,822,325,944,600,944,240,1005,651,1005,428,1097,514,1097,428,1249,531,1219,445,1401,514,1401,975,1
40,640,792,377,822,548,792,308,914,617,883,222,944,668,944,428,1066,514,1066,428,1249,514,1219,445,1371,531,1371,944,1
41,609,761,377,792,531,761,291,883,617,853,205,883,702,914,411,1005,497,1005,428,1219,514,1158,445,1340,531,1371,883,1
42,579,761,377,761,531,731,308,853,600,822,222,853,702,853,411,975,514,975,428,1158,531,1127,445,1340,514,1340,853,0
43,579,731,377,761,531,700,308,853,617,822,240,853,702,822,411,975,497,944,428,1158,531,1127,462,1340,514,1310,853,0
44,579,731,377,731,531,700,308,853,617,822,274,883,685,853,428,975,514,944,428,1127,531,1127,462,1280,514,1280,853,0
