Head,Neck,RShoulder_X,RShoulder_Y,LShoulder_X,LShoulder_Y,RElbow_X,RElbow_Y,LElbow_X,LElbow_Y,RWrist_X,RWrist_Y,LWrist_X,LWrist_Y,RHip_X,RHip_Y,LHip_X,LHip_Y,RKnee_X,RKnee_Y,LKnee_X,LKnee_Y,RAnkle_X,RAnkle_Y,LAnkle_X,LAnkle_Y,Chest,Label
687,830,456,828,584,828,407,885,632,885,343,885,600,857,488,1000,552,1000,472,1143,552,1143,488,1257,552,1257,916,0
687,830,456,828,584,828,407,857,632,857,343,857,681,857,488,1000,552,1000,472,1143,552,1143,488,1257,552,1286,916,0
687,830,584,828,456,828,407,857,648,857,697,857,326,828,488,1029,552,1029,488,1143,552,1172,488,1257,552,1286,944,0
715,830,584,828,456,857,648,857,391,857,697,827,326,799,552,1029,472,1029,552,1172,488,1143,552,1286,488,1257,944,0
715,830,584,857,472,857,648,857,391,885,713,799,326,799,536,1057,472,1057,552,1172,488,1143,552,1286,488,1286,973,0
715,859,568,857,472,857,664,857,391,885,713,799,343,799,536,1057,472,1057,552,1172,488,1172,552,1286,488,1286,973,0
715,830,569,857,456,857,648,857,391,857,697,799,343,799,536,1057,472,1057,552,1172,488,1172,552,1286,488,1286,973,0
715,830,584,828,472,828,648,857,391,857,697,799,359,799,536,1029,472,1029,552,1172,472,1172,552,1286,488,1286,944,0
687,801,568,828,456,799,632,857,391,828,681,828,359,799,536,1000,472,1000,552,1143,472,1143,552,1286,488,1286,916,0
658,772,568,799,456,770,632,828,391,828,681,828,343,828,536,971,472,971,552,1114,472,1114,552,1257,472,1257,887,0
629,772,569,770,456,770,616,828,407,828,664,857,359,857,536,971,472,971,552,1114,472,1086,552,1229,472,1229,859,1
601,744,568,770,456,742,616,828,407,827,664,885,359,885,536,914,472,914,552,1057,488,1057,536,1201,488,1172,859,1
601,744,569,742,456,742,616,828,407,828,664,857,343,857,536,914,456,942,552,1057,472,1057,536,1143,488,1143,859,1
601,744,568,742,439,742,616,828,391,828,681,857,326,857,456,914,456,942,552,1057,552,1000,472,1086,488,1143,830,1
601,744,568,742,439,742,616,828,391,799,681,857,310,828,472,942,456,942,552,971,568,971,488,1086,488,1029,830,1
601,744,439,742,569,742,391,799,616,828,326,828,697,857,456,942,520,942,488,971,569,942,488,1029,504,1029,859,1
629,744,439,742,568,770,391,828,616,828,326,857,681,885,456,914,504,914,488,971,552,942,488,1029,520,1000,830,1
629,744,456,742,568,770,391,828,616,857,343,885,664,914,456,885,504,914,472,942,552,942,488,1057,520,1029,830,1
629,772,569,770,439,770,391,828,407,857,375,914,359,914,472,942,504,942,472,971,552,942,488,1057,520,1057,859,1
629,772,439,770,569,770,407,857,584,857,375,914,616,942,456,942,504,942,472,971,552,971,488,1114,520,1086,859,1
629,772,439,770,568,799,407,857,584,885,359,914,616,942,456,942,504,971,472,1029,552,1029,488,1143,520,1143,887,1
658,772,552,799,439,799,569,857,407,857,616,942,343,914,520,971,456,971,536,1086,456,1086,520,1172,472,1201,887,1
658,801,439,799,568,828,568,857,391,885,616,942,326,885,456,971,520,1000,456,1143,520,1114,472,1257,520,1229,916,0
687,830,552,857,439,828,584,914,391,885,632,914,310,885,520,1029,456,1029,520,1143,472,1143,520,1286,456,1286,944,0
715,830,439,857,552,857,375,914,600,914,310,857,648,885,456,1057,520,1057,472,1172,520,1172,472,1286,520,1286,973,0
715,830,552,857,439,857,600,914,375,914,648,885,326,857,520,1057,456,1057,520,1172,456,1172,520,1286,472,1286,944,0
715,830,552,857,439,828,600,914,375,885,648,885,343,828,520,1029,456,1029,520,1172,456,1172,520,1286,456,1286,944,0
687,801,568,828,439,799,600,885,391,857,648,857,359,857,504,1000,456,1000,520,1143,456,1143,520,1286,456,1286,916,0
658,772,552,799,439,799,616,885,391,857,584,857,375,885,504,1000,439,971,520,1114,456,1114,520,1257,456,1257,887,0
629,772,552,770,439,770,584,857,407,857,616,914,375,885,520,971,456,971,520,1114,456,1086,520,1229,456,1229,887,0
601,744,552,770,439,770,584,857,407,828,600,914,359,914,520,942,439,942,520,1086,456,1057,504,1172,456,1201,859,1
601,744,439,742,568,770,407,828,568,857,359,885,616,914,456,914,520,914,456,1057,520,1057,456,1143,504,1114,830,1
601,744,439,742,552,742,391,828,584,857,326,885,648,885,456,971,504,971,456,1029,536,1000,472,1114,504,1057,859,1
601,744,439,742,552,742,375,828,600,828,310,857,664,857,439,942,488,942,456,1000,536,1000,472,1057,504,1029,859,1
629,744,439,742,552,770,375,799,600,828,310,828,664,828,439,942,488,942,456,971,552,971,472,1029,504,1000,859,1
629,744,552,770,423,770,600,828,375,828,310,828,310,828,439,942,439,942,520,971,552,971,488,1029,504,1029,859,1
629,772,423,770,569,770,375,828,600,857,310,857,664,885,439,914,504,942,439,971,536,971,472,1057,520,1057,859,1
629,772,439,770,552,770,391,828,600,857,326,885,632,914,439,914,504,942,439,1000,536,971,472,1086,520,1086,859,1
658,772,439,770,552,799,391,857,584,885,343,914,600,942,472,971,504,971,439,1000,536,1000,472,1114,520,1114,887,1
658,801,439,799,569,799,391,885,568,885,343,942,584,971,439,942,504,971,456,1029,520,1029,488,1172,520,1143,887,1
658,801,439,799,568,828,391,885,569,885,343,942,600,971,456,1000,504,1000,439,1086,520,1057,472,1201,520,1201,916,1
687,830,439,828,552,828,391,885,569,914,326,942,600,971,439,1000,504,1000,439,1114,520,1143,472,1257,520,1229,916,0
715,830,439,857,552,857,391,914,568,914,310,914,632,942,456,1029,520,1029,456,1143,520,1172,456,1286,520,1286,944,0
744,859,423,857,552,885,375,914,600,942,294,885,648,914,456,1057,504,1086,456,1172,504,1172,456,1286,520,1286,973,0
744,859,423,885,552,885,375,914,600,942,310,885,648,914,456,1057,520,1086,456,1172,520,1172,456,1286,504,1286,973,0
744,859,552,885,423,857,616,914,375,914,664,885,326,857,520,1057,439,1057,520,1201,439,1172,504,1286,456,1286,973,0
715,830,439,857,552,857,391,914,616,914,664,885,343,857,456,1029,520,1057,439,1172,520,1172,456,1286,504,1286,944,0
687,801,552,828,439,828,616,885,375,885,664,857,359,857,520,1029,456,1029,520,1143,456,1143,504,1286,456,1286,916,0
