Head,Neck,RShoulder_X,RShoulder_Y,LShoulder_X,LShoulder_Y,RElbow_X,RElbow_Y,LElbow_X,LElbow_Y,RWrist_X,RWrist_Y,LWrist_X,LWrist_Y,RHip_X,RHip_Y,LHip_X,LHip_Y,RKnee_X,RKnee_Y,LKnee_X,LKnee_Y,RAnkle_X,RAnkle_Y,LAnkle_X,LAnkle_Y,Chest,Label
687,801,600,828,472,828,664,857,407,857,729,828,343,828,552,1029,504,1029,568,1143,504,1114,569,1257,504,1257,916,0
687,830,600,828,472,828,664,857,407,857,729,828,343,828,552,1029,504,1029,568,1143,504,1143,552,1257,504,1257,944,0
687,830,600,828,472,828,664,885,407,885,713,828,359,857,552,1029,504,1029,569,1143,504,1143,568,1257,504,1257,944,0
687,830,600,828,472,857,664,885,407,885,713,857,359,857,569,1029,488,1029,569,1143,504,1143,568,1257,504,1257,944,0
715,830,600,857,472,857,664,885,407,914,713,857,375,885,569,1029,488,1029,568,1172,504,1143,568,1257,504,1257,944,0
715,859,584,857,472,857,648,914,407,914,697,885,375,885,568,1057,488,1057,568,1172,504,1143,569,1257,504,1257,973,0
715,859,472,857,600,857,423,914,648,914,407,914,681,885,488,1029,568,1029,504,1143,568,1143,504,1257,568,1257,944,0
715,859,600,857,472,857,648,914,423,914,681,914,391,914,569,1057,488,1057,569,1172,488,1172,569,1257,504,1257,973,0
715,830,600,857,472,857,648,914,423,914,664,914,375,914,569,1057,488,1057,568,1172,488,1172,568,1257,504,1257,944,0
687,830,600,828,472,828,632,914,423,885,664,914,391,942,569,1000,488,1029,568,1143,488,1143,569,1257,504,1257,916,0
658,801,600,799,472,828,632,885,439,885,648,914,407,942,568,1000,504,1000,569,1143,488,1114,568,1257,504,1257,916,0
658,772,472,799,600,799,439,885,616,857,407,942,632,914,504,942,569,942,488,1086,569,1114,504,1257,568,1257,887,0
629,772,600,770,472,799,616,857,439,857,632,914,407,942,569,942,504,971,568,1086,488,1086,569,1229,488,1229,887,0
629,772,584,770,472,770,616,857,439,857,632,914,632,914,488,942,568,914,488,1057,569,1086,504,1229,569,1201,887,1
629,744,600,770,472,770,600,857,439,857,632,914,407,914,569,914,504,914,568,1057,488,1057,552,1172,504,1201,859,1
629,744,600,770,472,770,600,857,439,857,632,914,407,914,569,914,504,914,584,1057,488,1057,552,1143,504,1201,859,1
